Date, Open , High , Low , Close ,Volume
02-01-2015, $79.77 , $80.15 , $78.67 , $79.03 ,2021300
05-01-2015, $78.32 , $78.57 , $77.56 , $77.70 ,3000000
06-01-2015, $77.84 , $78.08 , $76.52 , $77.14 ,2867000
07-01-2015, $77.54 , $78.95 , $77.54 , $78.76 ,2865500
08-01-2015, $79.18 , $80.20 , $79.03 , $79.96 ,2802900
09-01-2015, $80.02 , $80.20 , $79.51 , $79.87 ,2399900
12-01-2015, $79.27 , $80.08 , $79.10 , $79.63 ,2418500
13-01-2015, $79.86 , $81.26 , $79.31 , $79.91 ,4007000
14-01-2015, $79.66 , $79.66 , $78.29 , $78.98 ,2377900
15-01-2015, $79.18 , $79.26 , $77.99 , $78.44 ,1821000
16-01-2015, $78.06 , $79.18 , $77.89 , $79.08 ,2657400
20-01-2015, $79.08 , $79.55 , $78.22 , $78.84 ,2333600
21-01-2015, $78.60 , $78.85 , $78.05 , $78.59 ,2040800
22-01-2015, $78.93 , $79.67 , $78.24 , $79.62 ,2656900
23-01-2015, $79.63 , $79.99 , $79.30 , $79.37 ,1939100
26-01-2015, $79.21 , $79.35 , $78.50 , $79.25 ,1997200
27-01-2015, $78.24 , $78.57 , $76.51 , $76.65 ,3689000
28-01-2015, $77.33 , $77.50 , $75.02 , $75.05 ,3469100
29-01-2015, $75.57 , $76.24 , $74.67 , $76.19 ,3590600
30-01-2015, $75.72 , $76.01 , $74.60 , $74.75 ,3837500
02-02-2015, $75.10 , $76.37 , $74.26 , $76.36 ,3088500
03-02-2015, $76.73 , $78.25 , $76.48 , $78.22 ,3501300
04-02-2015, $79.34 , $79.34 , $77.55 , $77.70 ,2764100
05-02-2015, $78.38 , $78.77 , $77.70 , $78.70 ,2102000
06-02-2015, $78.82 , $79.27 , $78.14 , $78.42 ,2386500
09-02-2015, $77.85 , $78.49 , $77.49 , $77.72 ,2670500
10-02-2015, $78.06 , $78.21 , $77.11 , $77.86 ,2573800
11-02-2015, $77.86 , $78.44 , $77.62 , $78.25 ,1829800
12-02-2015, $78.34 , $79.37 , $78.27 , $79.26 ,1931300
13-02-2015, $79.26 , $79.89 , $79.25 , $79.88 ,1774400
17-02-2015, $79.74 , $79.88 , $79.02 , $79.44 ,1915900
18-02-2015, $79.18 , $79.64 , $79.05 , $79.56 ,1508900
19-02-2015, $79.65 , $80.40 , $79.51 , $80.31 ,1751700
20-02-2015, $80.08 , $80.94 , $79.45 , $80.50 ,2950600
23-02-2015, $80.60 , $80.77 , $80.18 , $80.57 ,1579000
24-02-2015, $80.22 , $80.96 , $79.97 , $80.82 ,1592000
25-02-2015, $80.64 , $81.35 , $80.36 , $80.60 ,1732900
26-02-2015, $80.80 , $81.16 , $80.07 , $80.33 ,2156800
27-02-2015, $80.11 , $80.74 , $79.94 , $80.09 ,1686100
02-03-2015, $80.09 , $81.17 , $79.83 , $81.12 ,1975000
03-03-2015, $81.12 , $81.20 , $80.55 , $80.81 ,2888300
04-03-2015, $80.80 , $81.13 , $80.12 , $80.88 ,2728800
05-03-2015, $81.23 , $82.01 , $81.12 , $81.89 ,3019600
06-03-2015, $81.51 , $81.80 , $80.50 , $80.66 ,3735000
09-03-2015, $80.72 , $80.92 , $80.19 , $80.77 ,1464200
10-03-2015, $80.03 , $80.25 , $78.33 , $78.34 ,3230200
11-03-2015, $78.54 , $79.09 , $77.18 , $77.27 ,4320400
12-03-2015, $77.42 , $78.55 , $77.27 , $78.46 ,2164100
13-03-2015, $78.45 , $78.47 , $76.86 , $78.17 ,3617200
16-03-2015, $78.57 , $79.26 , $78.41 , $79.10 ,2246000
17-03-2015, $78.60 , $79.07 , $78.47 , $79.03 ,2210900
18-03-2015, $79.00 , $81.27 , $78.62 , $80.89 ,2664900
19-03-2015, $80.86 , $81.26 , $80.06 , $80.23 ,2658500
20-03-2015, $80.86 , $81.53 , $80.52 , $81.38 ,3558200
23-03-2015, $81.29 , $81.65 , $81.14 , $81.44 ,1916200
24-03-2015, $81.39 , $81.39 , $79.43 , $79.54 ,2948600
25-03-2015, $79.54 , $80.02 , $78.45 , $78.47 ,3607100
26-03-2015, $81.41 , $84.50 , $80.90 , $83.78 ,7157000
27-03-2015, $83.55 , $83.75 , $82.42 , $83.57 ,4352000
30-03-2015, $83.76 , $84.37 , $83.57 , $84.00 ,3333100
31-03-2015, $83.63 , $84.06 , $83.22 , $83.35 ,2708600
01-04-2015, $83.23 , $83.56 , $82.45 , $83.23 ,2736100
02-04-2015, $83.36 , $84.00 , $82.82 , $83.78 ,2145700
06-04-2015, $83.14 , $85.40 , $82.85 , $85.13 ,2563700
07-04-2015, $85.08 , $86.10 , $84.64 , $85.75 ,4232700
08-04-2015, $85.83 , $86.46 , $85.11 , $85.53 ,2651600
09-04-2015, $85.78 , $86.01 , $85.13 , $85.84 ,1952200
10-04-2015, $85.82 , $85.84 , $85.00 , $85.14 ,2158000
13-04-2015, $84.82 , $85.31 , $84.02 , $84.06 ,2443900
14-04-2015, $84.13 , $84.72 , $83.82 , $84.35 ,2087000
15-04-2015, $84.76 , $84.97 , $84.53 , $84.66 ,2093900
16-04-2015, $84.44 , $84.72 , $84.22 , $84.57 ,1934800
17-04-2015, $83.88 , $83.99 , $82.86 , $83.07 ,2647800
20-04-2015, $83.61 , $84.12 , $83.28 , $83.86 ,3294400
21-04-2015, $84.44 , $84.52 , $83.50 , $83.62 ,1949800
22-04-2015, $83.93 , $84.19 , $83.40 , $83.96 ,1896200
23-04-2015, $83.96 , $84.76 , $83.48 , $84.37 ,2165500
24-04-2015, $83.88 , $84.36 , $83.30 , $83.98 ,2249800
27-04-2015, $84.55 , $84.88 , $84.10 , $84.30 ,2155500
28-04-2015, $84.16 , $84.96 , $83.39 , $84.90 ,1976300
29-04-2015, $84.74 , $84.89 , $83.54 , $84.20 ,1701900
30-04-2015, $83.83 , $84.39 , $82.84 , $83.30 ,1804800
01-05-2015, $83.91 , $84.22 , $83.35 , $83.94 ,1851300
04-05-2015, $84.37 , $85.38 , $84.30 , $84.91 ,1990600
05-05-2015, $84.91 , $85.18 , $84.01 , $84.20 ,1769000
06-05-2015, $84.21 , $84.49 , $83.25 , $83.62 ,2386600
07-05-2015, $83.56 , $85.26 , $83.39 , $84.96 ,2466600
08-05-2015, $85.93 , $86.58 , $85.41 , $86.22 ,2411700
11-05-2015, $85.87 , $86.71 , $85.79 , $86.33 ,2837700
12-05-2015, $85.70 , $85.98 , $84.92 , $85.80 ,2065100
13-05-2015, $85.96 , $86.41 , $85.49 , $86.03 ,1784400
14-05-2015, $86.44 , $87.22 , $86.37 , $87.20 ,1504600
15-05-2015, $87.06 , $87.43 , $86.73 , $87.23 ,2578500
18-05-2015, $86.87 , $87.88 , $86.87 , $87.63 ,2110900
19-05-2015, $87.85 , $88.07 , $87.14 , $87.38 ,1672000
